NO,TAHUN,DATA TEMPAT WISATA,ASAL WISATAWAN,,,JUMLAH
,,,WISATAWAN LOKAL,WISATAWAN NUSANTARA,WISATAWAN MANCA NEGARA,
,,,,,,
1,2019,PANTAI MUTIARA,"47,300","6,005",5,"53,310"
,,PANTAI MAOBU,"3,431",625,29,"4,085"
,,PANTAI KATEMBE,921,256,0,"1,177"
,,PANTAI WANTOPI,861,24,9,894
,,GUA LOBA-LOBA,60,12,12,84
,,PANTAI GUBAHI,891,133,38,"1,062"
,,MATAWINE,762,556,0,"1,318"
,,LOWU-LOWU,"1,204",668,0,"1,872"
,,DANAU FOTU,848,613,0,"1,461"
,,PANTAI BUNGI TALAGA,644,0,0,644
,,GUA KO,170,10,0,180
,,GUA OE MAMBA,563,91,26,680
,,DANAU PASI BUNGI,356,0,0,356
,,PANTAI MOKO,667,478,8,"1,153"
,,PERMANDIAN GUMANANO,792,158,0,950
2,2020,PANTAI MUTIARA,"13,792","2,847",0,"16,639"
,,PANTAI MAOBU,"3,149","2,641",0,"5,790"
,,PANTAI KATEMBE,689,575,0,"1,264"
,,PANTAI WANTOPI,203,499,0,702
,,GUA LOBA-LOBA,78,154,2,234
,,PANTAI GUBAHI,167,0,0,167
,,PANTAI GUMANANO,125,0,0,125
,,MATAWINE,327,235,0,562
,,SINGKU LOWU LOWU,52,328,0,380
,,DANAU FOTU,399,259,2,660
,,PANTAI BUNGI TALAGA,"1,250",0,0,"1,250"
,,GUA KOO,163,3,0,166
,,GUA OE MAAMBA,618,59,4,681
,,DANAU PASI BUNGI,356,0,0,356
3,2021,BONE LABUNTA,20,11,0,31
,,PANTAI MUTIARA,"6,021","1,750",4,"7,775"
,,PANTAI MAOBU,"1,066",953,0,"2,019"
,,PANTAI KATEMBE,544,320,0,864
,,TANJUNG BUAYA,85,20,0,105
,,PANTAI WANTOPI,420,92,0,512
,,GUA LOBA-LOBA,5,2,2,9
,,PANTAI GUBAHI,90,12,0,102
,,PERMANDIAN GUMANANO,39,5,0,44
,,MATAWINE,340,55,0,395
,,PANTAI SINGKU LOWU-LOWU,70,43,0,113
,,DANAU FOTU,65,43,0,108
,,PANTAI BUNGI TALAGA,134,8,0,142
,,PANTAI BUNGI MOKO,220,20,0,240
,,PERMANDIAN KOTAEONO,"1,090",129,0,"1,219"
,,TEBING WALANDO INDAH,437,21,2,460
,,GUA KOO,42,12,0,54
,,GUA OE MAMBA,50,8,3,61
,,GUA BIDADARI,4,2,0,6
,,MAKAM SANGIA WAMBULU,44,5,0,49
,,BENTENG BOMBONAWULU,30,10,0,40
,,PANTAI KENANGAN LAKUDO (PKL),421,20,0,441
,,GUA LAUMEHE,65,5,0,70
,,WISATA ALAM BANTEA,112,10,0,122
4,2022,BONE LABUNTA,8,4,0,12
,,PANTAI MUTIARA,"18,347","1,446",4,"19,797"
,,PANTAI MAOBU,"4,246","1,221",0,"5,467"
,,PANTAI KATEMBE,140,50,0,190
,,TANJUNG BUAYA,12,4,0,16
,,PANTAI WANTOPI,150,60,0,210
,,GUA LOBA-LOBA,2,3,0,5
,,PANTAI GUBAHI,19,4,0,23
,,PERMANDIAN GUMANANO,12,4,0,16
,,MATAWINE,450,120,0,570
,,PANTAI SINGKU LOWU-LOWU,230,8,0,238
,,DANAU FOTU,24,9,0,33
,,PANTAI BUNGI TALAGA,13,8,0,21
,,PANTAI BUNGI MOKO,21,5,0,26
,,PERMANDIAN KOTAEONO,150,8,0,158
,,TEBING WALANDO INDAH,54,18,0,72
,,GUA KOO,6,2,2,10
,,GUA OE MAMBA,8,0,4,12
,,GUA BIDADARI,2,2,0,4
,,MAKAM SANGIA WAMBULU,8,0,0,8
,,BENTENG BOMBONAWULU,6,2,0,8
,,PANTAI KENANGAN LAKUDO (PKL),21,8,0,29
,,GUA LAUMEHE,8,6,2,16
,,WISATA ALAM BANTEA,18,8,0,26
,,GUA LAPAHIA,20,10,33,63
