id_transaksi,tanggal,kota,kategori,produk,jumlah,harga_satuan,diskon_persen,metode_bayar,rating_pelanggan,total_bayar
TRX2024198,2024-11-14,Jakarta Selatan,Makanan,Sambal Roa,8,38000,5,Transfer,4.7,288800
TRX2025061,2024-08-16,Depok,Fashion,Kaos Lokal,8,131500,15,Tunai,3.8,894200
TRX2024249,2024-12-21,Depok,Fashion,Hijab Motif,12,102500,10,E-Wallet,4.3,1107000
TRX2024903,2024-09-27,Bekasi,Fashion,Kemeja Tenun,11,113500,10,E-Wallet,,1123650
TRX2024097,2024-05-06,Depok,Kerajinan,Batik Tulis,8,123000,20,QRIS,4.5,787200
TRX2024380,2024-02-14,Bekasi,Minuman,Kopi Bubuk,9,42000,5,Tunai,3.8,359100
TRX2024391,2024-02-09,Tangerang Selatan,Makanan,Keripik Singkong,11,36500,0,Tunai,5.0,401500
TRX2024107,2024-03-11,Depok,Makanan,Rendang Kemasan,7,34000,0,QRIS,,238000
TRX2024557,2024-10-09,DEPOK,Minuman,Sirup Markisa,8,46000,5,E-Wallet,5.0,349600
TRX2024407,2024-11-01,Jakarta Selatan,Makanan,Sambal Roa,2,28000,0,Transfer,3.7,56000
TRX2024626,2024-10-10,Bogor,Kerajinan,Batik Tulis,1,122000,5,E-Wallet,4.2,115900
TRX2025188,2024-03-09,Depok,Minuman,Kopi Bubuk,9,31500,0,E-Wallet,4.1,283500
TRX2024808,2024-11-03,Jakarta Selatan,Minuman,Kopi Bubuk,11,38000,20,QRIS,3.6,334400
TRX2024613,2024-03-26,Bekasi,Minuman,Kopi Bubuk,8,50000,0,QRIS,5.0,400000
TRX2024057,2024-01-17,Depok,Kerajinan,Batik Tulis,2,191500,20,E-Wallet,4.6,306400
TRX2025119,2024-10-01,Depok,Makanan,Kue Kering,7,34500,5,QRIS,4.0,229425
TRX2024942,2024-04-01,Jakarta Selatan,Makanan,Sambal Roa,12,25000,0,QRIS,4.4,300000
TRX2024639,2024-01-06,Jakarta Selatan,Fashion,Hijab Motif,2,96500,0,Transfer,3.5,193000
TRX2024670,2024-04-06,Tangerang Selatan,Makanan,Rendang Kemasan,12,24500,10,Transfer,4.9,264600
TRX2024317,2024-10-19,Bekasi,Makanan,Sambal Roa,10,21500,20,E-Wallet,4.1,172000
TRX2024549,2024-01-03,Tangerang Selatan,Minuman,Sirup Markisa,1,46500,0,QRIS,4.5,46500
TRX2024686,2024-12-24,Jakarta Selatan,Makanan,Rendang Kemasan,10,34000,0,QRIS,4.5,340000
TRX2024255,2024-04-01,Bogor,Fashion,Kaos Lokal,5,119000,0,Tunai,5.0,595000
TRX2024624,2024-07-15,Bekasi,Makanan,Kue Kering,11,31500,0,Transfer,3.9,346500
TRX2024782,2024-12-01,Jakarta Selatan,Makanan,Rendang Kemasan,13,25000,20,QRIS,4.2,260000
TRX2025090,2024-11-27,Tangerang Selatan,Minuman,Sirup Markisa,6,55500,10,QRIS,2.8,299700
TRX2024019,2024-06-19,Depok,Makanan,Keripik Singkong,14,29500,15,Transfer,5.0,351050
TRX2025008,2024-03-02,Depok,Makanan,Kue Kering,9,35000,15,QRIS,4.6,267750
TRX2024210,2024-09-25,Depok,Minuman,Sirup Markisa,6,29500,10,Tunai,4.4,159300
TRX2024449,2024-06-19,Tangerang Selatan,Makanan,Kue Kering,1,38000,0,E-Wallet,4.3,38000
